time(sec),time(min),Temp C,Temp C
208,3.47,100.25,99.06212674
209,3.48,100.75,99.3997014
210,3.5,100.5,99.61976112
211,3.52,101,99.89580889
212,3.53,101,100.1166471
213,3.55,100.5,100.1933177
214,3.57,101.25,100.4046542
215,3.58,101.5,100.6237233
216,3.6,101.25,100.7489787
217,3.62,101.25,100.8491829
218,3.63,101.5,100.9793463
219,3.65,100.75,100.9334771
220,3.67,101.5,101.0467817
221,3.68,101.5,101.1374253
222,3.7,101,101.1099403
223,3.72,101.75,101.2379522
224,3.73,101.75,101.3403618
225,3.75,101.25,101.3222894
226,3.77,101.25,101.3078315
227,3.78,101.5,101.3462652
228,3.8,101.5,101.3770122
229,3.82,101.75,101.4516097
230,3.83,102,101.5612878
231,3.85,101.25,101.4990302
232,3.87,101.75,101.5492242
233,3.88,101,101.4393794
234,3.9,102,101.5515035
235,3.92,101.75,101.5912028
236,3.93,102,101.6729622
237,3.95,102,101.7383698
238,3.97,101.75,101.7406958
239,3.98,101.75,101.7425567
240,4,101.75,101.7440453
241,4.02,101.5,101.6952363
242,4.03,101.5,101.656189
243,4.05,101.5,101.6249512
244,4.07,101.75,101.649961
245,4.08,101.75,101.6699688
246,4.1,101.75,101.685975
247,4.12,102,101.74878
248,4.13,101.75,101.749024
249,4.15,102.25,101.8492192
250,4.17,101.75,101.8293754
251,4.18,101.25,101.7135003
252,4.2,101.75,101.7208002
253,4.22,101.75,101.7266402
254,4.23,102,101.7813122
255,4.25,101.75,101.7750497
256,4.27,102,101.8200398
257,4.28,101.75,101.8060318
258,4.3,101.75,101.7948255
259,4.32,101.75,101.7858604
260,4.33,101.5,101.7286883
261,4.35,101.5,101.6829506
262,4.37,101,101.5463605
263,4.38,101.75,101.5870884
264,4.4,101.75,101.6196707
265,4.42,101.25,101.5457366
266,4.43,101.5,101.5365893
267,4.45,101.5,101.5292714
268,4.47,101.5,101.5234171
269,4.48,101,101.4187337
270,4.5,101,101
271,4.52,101,101
272,4.53,100.75,100.75
273,4.55,101,100.75
274,4.57,100.75,100.75
275,4.58,101,100.925
276,4.6,100.5,100.6275
277,4.62,100.25,100.36325
278,4.63,100.5,100.458975
279,4.65,100,100.1376925
280,4.67,100.5,100.3913078
281,4.68,100.5,100.4673923
282,4.7,100.25,100.3152177
283,4.72,100,100.0945653
284,4.73,100,100.0283696
285,4.75,99.5,99.65851088
286,4.77,99.75,99.72255326
287,4.78,99.5,99.56676598
288,4.8,99.25,99.34502979
289,4.82,99,99.27602383
290,4.83,99.5,99.32081907
291,4.85,98.75,99.20665525
292,4.87,99.25,99.2153242
293,4.88,99.25,99.22225936
294,4.9,98.75,99.12780749
295,4.92,98.75,99.05224599
296,4.93,98.75,98.99179679
297,4.95,98.5,98.89343744
298,4.97,99,98.91474995
299,4.98,98.75,98.88179996
300,5,98.25,98.75543997
301,5.02,98.5,98.70435197
302,5.03,98.25,98.61348158
303,5.05,97.75,98.44078526
304,5.07,97.75,98.30262821
305,5.08,97.75,98.19210257
306,5.1,97.75,98.10368205
307,5.12,97,97.88294564
308,5.13,97.5,97.80635651
309,5.15,97.25,97.69508521
310,5.17,96.75,97.50606817
311,5.18,96.5,97.30485454
312,5.2,97,97.24388363
313,5.22,97.25,97.2451069
314,5.23,96.75,97.14608552
315,5.25,96.75,97.06686842
316,5.27,96.25,96.90349473
317,5.28,96,96.72279579
318,5.3,96.25,96.62823663
319,5.32,96,96.5025893
320,5.33,95.5,96.30207144
321,5.35,96,96.24165715
322,5.37,95.75,96.14332572
323,5.38,96.25,96.16466058
324,5.4,95.5,96.03172846
325,5.42,95.5,95.92538277
326,5.43,95.5,95.84030622
327,5.45,95.5,95.77224497
328,5.47,95,95.61779598
329,5.48,95,95.49423678
330,5.5,94.75,95.34538943
331,5.52,95,95.27631154
332,5.53,94.75,95.17104923
333,5.55,95,95.13683939
334,5.57,95,95.10947151
335,5.58,94.75,95.03757721
336,5.6,94.75,94.98006177
337,5.62,94.5,94.88404941
338,5.63,94.25,94.75723953
339,5.65,93.75,94.55579162
340,5.67,94.25,94.4946333
341,5.68,94,94.39570664
342,5.7,94,94.31656531
343,5.72,93.75,94.20325225
344,5.73,93,93.9626018
345,5.75,93.5,93.87008144
